date,marketing_spend,temperature,holiday_flag,promo_flag,demand
1/1/2024,197.2659726,24.37327678,0,0,111.9287472
1/2/2024,230.5680924,22.26936581,0,0,136.5422734
1/3/2024,158.195466,26.15310691,0,0,126.4502928
1/4/2024,,24.6718298,0,0,124.6993387
1/5/2024,207.4915278,,0,0,115.5376386
1/6/2024,254.2341661,23.93563048,0,1,143.8657867
1/7/2024,293.7627722,21.01814917,0,0,231.0479343
1/8/2024,237.2171172,23.82833269,0,0,139.2713605
1/9/2024,177.121847,24.00934571,0,0,155.8114226
1/10/2024,167.3566895,24.48816348,0,0,147.8622376
1/11/2024,,24.31809324,0,0,147.089329
1/12/2024,220.4660195,23.77226398,0,0,135.5280217
1/13/2024,188.9574734,25.25715634,0,0,125.9573666
1/14/2024,195.1185619,22.28339248,0,0,120.1906535
1/15/2024,230.3926663,,0,0,135.4851803
1/16/2024,201.2127262,22.82057948,0,0,126.9458042
1/17/2024,191.8438028,25.9247907,0,0,123.0683406
1/18/2024,174.0026772,27.37957341,0,0,112.5159083
1/19/2024,189.749902,24.26548828,0,1,106.7271916
1/20/2024,210.042489,23.22694303,0,0,109.1078787
1/21/2024,,27.2669517,0,0,108.8566151
1/22/2024,207.2356768,23.14700029,0,0,106.9333643
1/23/2024,250.6654315,25.31692257,0,1,140.0128461
1/24/2024,220.4456616,27.90846776,0,0,116.6698601
1/25/2024,148.701228,23.04693568,0,0,113.763023
1/26/2024,,27.08124349,0,1,123.5930503
1/27/2024,207.8960765,26.78144148,0,0,203.2140187
1/28/2024,193.7143776,24.52201513,0,0,100.5677554
1/29/2024,76.32902828,25.5831182,1,0,110.4296666
1/30/2024,210.7249648,24.7245638,0,0,127.4900029
1/31/2024,204.4603157,26.48354544,0,0,148.4721714
2/1/2024,227.8836374,23.97444924,0,1,157.029617
2/2/2024,201.9341772,24.14829051,0,0,118.7263802
2/3/2024,232.5965974,24.03829599,0,0,137.9730524
2/4/2024,161.2585174,26.30068895,0,0,126.8074785
2/5/2024,243.4797188,26.45833727,0,0,138.0150563
2/6/2024,179.3307922,25.09537793,0,0,142.8792882
2/7/2024,188.8639539,25.50953803,0,1,163.6139869
2/8/2024,210.0111253,26.24075773,0,0,149.17604
2/9/2024,146.1928584,25.89280359,0,1,155.6193948
2/10/2024,191.2545864,23.05505265,0,1,148.9249455
2/11/2024,160.3846706,25.45945197,0,0,123.825203
2/12/2024,,23.66627341,0,1,143.2667008
2/13/2024,205.933651,28.53188046,0,0,143.3205625
2/14/2024,180.7447025,25.25874933,0,0,142.4869767
2/15/2024,194.6290433,28.29256981,0,0,131.8816979
2/16/2024,,25.18269408,0,1,126.9863159
2/17/2024,167.744189,26.92957102,1,0,122.2686059
2/18/2024,149.8757569,25.84741585,0,1,146.2943021
2/19/2024,292.4811342,27.6869994,0,0,119.3421964
2/20/2024,168.4385847,24.75911658,1,0,144.68885
2/21/2024,146.8177887,29.86743137,0,0,114.3903761
2/22/2024,217.7689315,25.92805674,0,0,125.9292619
2/23/2024,211.6415732,28.45503735,0,0,102.6656185
2/24/2024,171.6852708,26.03323861,0,0,103.9059409
2/25/2024,201.0700123,25.13643253,0,0,116.9440427
2/26/2024,151.7835925,27.42158671,0,0,116.9464889
2/27/2024,234.6536288,,0,1,145.7668059
2/28/2024,285.8600018,28.39791425,0,0,128.5527574
2/29/2024,202.9989455,28.10894106,0,0,137.6593111
3/1/2024,231.3674729,25.91922208,0,1,161.7550952
